from,to
"Flavobacteriaceae","Myroides"
"Odoribacteraceae","Odoribacter"
"Flavobacteriaceae","Wenyingzhuangia"
"Fibrella","Fibrella aestuarina"
"Bacteroidetes Order II. Incertae sedis","Rhodothermaceae"
"Parabacteroides","Parabacteroides distasonis"
"Blattabacterium","Blattabacterium cuenoti"
"Capnocytophaga","Capnocytophaga canimorsus"
"Saprospiraceae","Saprospira"
"Saprospiria","Saprospirales"
"Cytophagaceae","Spirosoma"
"Sphingobacteriaceae","Pseudopedobacter"
"Amoebophilaceae","Candidatus Cardinium"
"Flavobacteriaceae","Aequorivita"
"Flavobacteriaceae","Formosa"
"Bacteroides","Bacteroides thetaiotaomicron"
"Bacteroides","Bacteroides intestinalis"
"Zunongwangia","Zunongwangia profunda"
"Blattabacterium","Blattabacterium punctulatus"
"Flavobacteriaceae","Psychroserpens"
"Ornithobacterium","Ornithobacterium rhinotracheale"
"Prevotella","Prevotella nigrescens"
"Flavobacteriaceae","Gramella"
"Sphingobacteriaceae","Sphingobacterium"
"Cyclobacteriaceae","Echinicola"
"Prevotella","Prevotella salivae"
"Haliscomenobacter","Haliscomenobacter hydrossis"
"Marivirga","Marivirga tractuosa"
"Maribacter","Maribacter forsetii"
"Joostella","Joostella marina"
"Dysgonomonadaceae","Dysgonomonas"
"Flavobacteriaceae","Capnocytophaga"
"Bacteroidales","Muribaculaceae"
"Gramella","Gramella flava"
"Solitalea","Solitalea canadensis"
"Microscilla","Microscilla marina"
"Saccharicrinis","Saccharicrinis fermentans"
"Marivirgaceae","Marivirga"
"Alistipes","Alistipes shahii"
"Chitinophagaceae","Niabella"
"Prevotella","Prevotella melaninogenica"
"Cytophagales","Bernardetiaceae"
"Flavobacteriaceae","Sediminicola"
"Cytophagaceae","Cytophaga"
"Nonlabens","Nonlabens marinus"
"Cyclobacterium","Cyclobacterium qasimii"
"Barnesiella","Barnesiella viscericola"
"Bacteroidetes","Chitinophagia"
"Pontibacter","Pontibacter actiniarum"
"Mucilaginibacter","Mucilaginibacter paludis"
"Robiginitalea","Robiginitalea biformata"
"Flavobacteriaceae","Flagellimonas"
"Cytophagales","Microscillaceae"
"Niabella","Niabella aurantiaca"
"Porphyromonas","Porphyromonas asaccharolytica"
"Phocaeicola","Phocaeicola salanitronis"
"Flavobacteriaceae","Joostella"
"Flavobacteriales","Weeksellaceae"
"Spirosomaceae","Fibrisoma"
"Flavobacteriaceae","Olleya"
"Flavobacteriaceae","Bizionia"
"Haliscomenobacteraceae","Haliscomenobacter"
"Phocaeicola","Phocaeicola dorei"
"Flammeovirgaceae","Flammeovirga"
"Saprospirales","Haliscomenobacteraceae"
"Dysgonomonadaceae","Petrimonas"
"Pseudopedobacter","Pseudopedobacter saltans"
"Weeksellaceae","Chryseobacterium"
"Sphingobacterium","Sphingobacterium spiritivorum"
"Crocinitomicaceae","Crocinitomix"
"Flavobacteriaceae","Polaribacter"
"Sphingobacteriaceae","Mucilaginibacter"
"Parabacteroides","Parabacteroides merdae"
"Elizabethkingia","Elizabethkingia meningoseptica"
"Bacteroidales","Porphyromonadaceae"
"Bacteroidaceae","Phocaeicola"
"Bacteroidetes","Saprospiria"
"Cytophagales","Hymenobacteraceae"
"Marinilabiliaceae","Breznakibacter"
"Saprospirales","Saprospiraceae"
"Marinilabiliales","Marinilabiliaceae"
"Bacteroides","Bacteroides clarus"
"Leeuwenhoekiella","Leeuwenhoekiella blandensis"
"Emticicia","Emticicia oligotrophica"
"Hymenobacteraceae","Rufibacter"
"Tannerellaceae","Parabacteroides"
"Flavobacteriaceae","Aquimarina"
"Spirosomaceae","Emticicia"
"Prevotella","Prevotella loescheii"
"Bacteroides","Bacteroides fragilis"
"Flavobacterium","Flavobacterium psychrophilum"
"Nonlabens","Nonlabens dokdonensis"
"Cytophagales","Persicobacteraceae"
"Flavobacteriaceae","Arenitalea"
"Cellulophaga","Cellulophaga algicola"
"Weeksellaceae","Ornithobacterium"
"Aequorivita","Aequorivita sublithincola"
